id,code,date,customer,qty_input,qty_output,output_per_hour,lot_number,screw_config,machine_no,feed_rate,rpm,screen,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,resin_used,remarks
1,YA4249E,4-Jan-21,MOLDEX,,5,10,7361AF,STD,5,220,400,40/40,200,200,180,170,170,170,170,160,160,160,160,,,,
2,IA1770E,4-Jan-21,EVERBRIGHT,,935.62,69.1,7933AF-7945AF,STD,3,15,32,40/40,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
3,WA5870E,4-Jan-21,ISLAND,,1754.26,353.21,7930AF-7932AF,STD,7,46,160,80/80,200,200,200,180,180,170,170,150,120,120,,,,,VACUUM ON
4,UA11287E,4-Jan-21,SMYPC-MPP,,11.35,23.48,7711AF,STD,5,380,20,40,170,170,170,170,170,170,160,160,160,150,150,,,,
5,WA3827E,4-Jan-21,ALPHATECH,,200,96.77,7374AF,STD,7,30,180,40/40,210,210,190,190,180,180,180,160,140,140,,,,,VACUUM ON
6,UA11287E,4-Jan-21,SMYPC-MPP,,51.22,69.85,7968AF-7969AF,STD,7,20,130,40,170,170,160,160,160,160,170,200,200,180,,,,,
7,VA4086E,5-Jan-21,IN-HOUSE(corr),,275,71.74,7366AF-7367AF; 7422AF-7425AF,STD,5,100,380,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,VACUUM ON
8,VA4086E,5-Jan-21,IN-HOUSE(trial),,25,51.72,7420AF,STD,5,100,380,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,VACUUM ON
9,KA3144E,4-Jan-21,H & E,,10,13.3,7712AF,STD,5,150,300,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,
10,TA11397E,4-Jan-21,EVERGOOD,,253.44,59.23,7894AF-7899AF,STD,5,200,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
11,IA2859E,5-Jan-21,UNA(corr),,202.77,45.06,7946AF-7949AF,STD,3,30,40,60/60,150,150,150,150,150,150,130,130,,,,,,,
12,IA2859E,5-Jan-21,UNA(trial),,25,50,7950AF,STD,3,30,40,60/60,150,150,150,150,150,150,130,130,,,,,,,
13,VA4086E,5-Jan-21,ALPHATECH,,2500,50.97,7844AF-7889AF; 7890AF-7893AF,STD,5,100,380,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,VACUUM ON
14,BA7688E,6-Jan-21,EVEREST(corr),,100.91,67.27,7929AF,STD,3,7.5,43,40/40,150,150,150,150,140,140,130,,,,,,,,VACUUM ON
15,BA7688E,6-Jan-21,EVEREST,,2495.25,63.85,7827AF-7843; 7900AF-7907AF,STD,3,7.5,43,40/40,150,150,150,150,140,140,130,,,,,,,,VACUUM ON
16,RA13616E,6-Jan-21,STAR PLASTIC,,201.55,53.27,7923AF-7926AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
17,BA9094E,6-Jan-21,ZELLER,,77.19,34.05,7964AF-7965AF,STD,3,30,40,40/40,180,200,180,180,180,180,180,,,,,,,,
18,GA8074E,7-Jan-21,EASTERN,,406.11,70.22,7996AF-8004AF,STD,3,8,16,40/40,140,130,130,130,120,120,120,,,,,,,,
19,WA12282E,7-Jan-21,PACKAGE WORLD,,2116.75,64.88,7743AF-7747AF,STD,8,22,150,60/60,150,150,150,150,140,140,140,140,130,130,,,,,
20,WA3827E,7-Jan-21,IN-HOUSE,,2153.67,167.6,7991AF-7995AF,STD,7,30,180,40/40,210,210,190,190,180,180,180,160,140,140,,,,,VACUUM ON
21,VA4086E,7-Jan-21,IN-HOUSE,,495.72,48.68,7981AF-7990AF,STD,5,100,380,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,VACUUM ON
22,SA7726E,8-Jan-21,EASTERN,,48.22,45.21,8012AF,STD,3,6,28,40/40,160,130,105,100,120,120,110,,,,,,,,
23,CA1578E,8-Jan-21,JR HOLSTER,,72.02,49.1,7966AF-7967AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
24,WA5840E,8-Jan-21,TFT,,2545.15,265.58, 8006AF-8010AF ,STD,7,30,150,60/60,170,170,170,170,170,160,160,160,120,120,,,,,VACUUM ON
25,GA6607E,8-Jan-21,ALPHATECH,,43.78,29.19,8016AF,STD,3,15,25,40/40,180,200,180,180,180,180,180,,,,,,,,
26,WA2123E,9-Jan-21,KPC,,5330,251.81,7970AF-7980AF,STD,7,60,200,60/60,220,220,200,200,200,200,200,200,180,180,,,,,VACUUM ON
27,VA4086E,9-Jan-21,IN-HOUSE,,998.65,52.61,8023AF-8042AF,STD,5,100,380,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,VACUUM ON
28,BA7883E,11-Jan-21,Alphatech,,128.7,81.28,8019AF-8021AF,STD,5,200,380,60/60,180,180,180,180,180,180,180,160,160,140,140,,,,
29,WA11278E,14-Jan-21,FORTUNE DARUMA,,225,11.34,8043AF,STD,1,50,100,40/40,170,180,180,180,180,180,180,180,180,180,180,180,,,
30,WA11838E,11-Jan-21,MCBRIDE,,301.96,61.63,8022AF,STD,7,80,400,40/40,200,220,220,220,220,220,220,220,220,220,,,,,Coil Screw
31,GA6607E,11-Jan-21,IN-HOUSE,,162.16,37.42,8090AF-8093AF,STD,3,15,25,40/40,180,200,180,180,180,180,180,,,,,,,,
32,VA4086E,11-Jan-21,IN-HOUSE(trial),,49.4,44.24,8094AF,STD,5,100,380,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,VACUUM ON
33,BA2091E,12-Jan-21,GREENPACK,,2011.26,106.79,8049AF-8089AF,STD,5,250,400,60/60,170,170,170,170,170,170,160,160,160,150,150,,,,Pelletizer RPM 320
34,BA7688E,12-Jan-21,EVEREST(corr),,222.53,76.3,8044AF-8048AF,STD,5,120,400,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,VACUUM ON
35,OA9199E,12-Jan-21,ASY,,98.86,19.51,8095AF-8096AF,STD,3,10,25,100/100,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
36,BA7883E,12-Jan-21,EASTERN,,200,90.91,8102AF-8105AF,STD,5,200,380,60/60,180,180,180,180,180,180,180,160,160,140,140,,,,
37,GA8074E,13-Jan-21,EASTERN,,203.4,82.46,8098AF-8101AF,STD,3,8,16,40/40,140,130,130,130,120,120,120,,,,,,,,
38,KA5796E,13-Jan-21,INCON,,27.51,41.27,8097AF,STD,3,18,40,40/40,180,200,180,180,180,180,180,,,,,,,,
39,OA9199E,13-Jan-21,ASY,,198.76,24.74,8134AF-8137AF,STD,3,10,25,100/100,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
40,WA12282E,14-Jan-21,PACKAGE WORLD,,5000,66.21,8122AF-8131AF,STD,8,22,150,60/60,150,150,150,150,140,140,140,140,130,130,,,,,
41,BA9094E,14-Jan-21,ZELLER,,142.86,51.02,8153AF-8155AF,STD,5,150,300,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,
42,BA9094E,14-Jan-21,ZELLER(corr),,52.23,52.23,8156AF,STD,5,150,300,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,
43,GA4352E,14-Jan-21,ZELLER,,272.7,47.43,8139AF-8144AF,STD,3,30,40,40/40,180,200,180,180,180,180,180,,,,,,,,
44,GA4254E,14-Jan-21,INCON,,104.6,46.15,8145AF-8146AF,STD,3,9,25,40/40,180,200,180,180,180,180,180,,,,,,,,VACUUM ON
45,GA2595E,15-Jan-21,ALPHATECH,,380.89,32.88,8106AF-8121AF, STD ,5,200,250,40/40,200,220,220,220,220,220,220,220,220,220,220,,,,VACUUM ON/COIL SCREW
46,VA4086E,15-Jan-21,EASTERN,,490.9,57.19,8160AF-8169AF,STD,5,100,380,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,VACUUM ON
47,YA5188E,15-Jan-21,Evergood,,142.55,47.52,8171AF-8173AF,STD,3,12,40,40/40,140,130,130,130,130,130,130,,,,,,,,VACUUM ON
48,WA11838E,15-Jan-21,IN-HOUSE,,47.17,20.07,8133AF,STD,1,80,400,40/40,200,220,220,220,220,220,220,220,220,220,,,,,Coil Screw
49,WA3827E,15-Jan-21,EASTERN,,492.07,113.12,8170AF,STD,7,30,180,40/40,210,210,190,190,180,180,180,160,140,140,,,,,VACUUM ON
50,WA5870E,15-Jan-21,ISLAND,,190.2,163.03,8159AF,STD,7,46,160,80/80,200,200,200,180,180,170,170,150,120,120,,,,,VACUUM ON
51,WA13075E,15-Jan-21,IN-HOUSE,,299.8,133.24,8152AF, STD ,7,25,150,60/60,190,190,180,180,170,170,160,160,180,180,,,,,
52,GA6607E,14-Jan-21,ALPHATECH,,8.7,26.1,8149AF,STD,3,15,25,40/40,180,200,180,180,180,180,180,,,,,,,,
53,ZA4789E,16-Jan-21,ISLAND,,102.6,68.4,8195AF-8196AF,STD,5,230,400,60/60,180,180,180,180,170,170,170,160,140,150,150,,,,
54,VA3010E,16-Jan-21,EVERGOOD,,53.4,58.25,8225AF,STD,5,20,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
55,BA12011E,16-Jan-21,Emson-Arwin,,204.3,57.01,8197AF-8201AF,STD,3,30,40,40/40,180,200,180,180,180,180,180,,,,,,,,
56,BA3018E,16-Jan-21,Evergood,,257.02,74.86,8233AF-8238AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
57,WA1400E,18-Jan-21,ALLIED,,985.62,260.52,8223AF-8224AF,STD,7,25,160,60/60,180,180,170,170,170,150,150,150,120,120,,,,,VACUUM ON
58,GA8074E,18-Jan-21,Polytechnique,,1013.76,81.1,8202AF-8222AF,STD,5,160,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
59,UA11287E,16-Jan-21,SMYPC-MPP,,24.04,27.74,7748AF,STD,1,80,40,40,120,140,150,150,150,150,150,150,140,140,,,,,
60,WA12282E,18-Jan-21,PACKAGE WORLD,,4783.1,64.88,8183AF-8192AF,STD,8,22,150,60/60,150,150,150,150,140,140,140,140,130,130,,,,,
61,BA9159E,18-Jan-21,Evergood,,495.56,77.03,8259AF-8268AF,STD,3,26,34,40/40,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
62,GA6607E,19-Jan-21,In-house(corr),,7.65,22.95,8271AF,STD,3,15,25,40/40,180,200,180,180,180,180,180,,,,,,,,
63,KA5796E,19-Jan-21,INCON,,25.63,21.97,8239AF,STD,3,18,40,40/40,180,200,180,180,180,180,180,,,,,,,,
64,DA9260E,19-Jan-21,Evergood,,97.89,59.93,8269AF-8270AF,STD,3,30,40,60/60,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
65,WA5835E,19-Jan-21,CEBU JUNTRADE,,1233.77,241.92,8256AF-8258AF,STD,7,40,150,60/60,200,200,180,170,160,140,140,140,120,120,,,,,VACUUM ON
66,WA7997E,5-Jan-21,NICE,,2183.16,59.62,7263AF-7267AF,STD,8,26,250,60/60,160,160,160,160,150,150,150,150,140,140,140,,,,VACUUM ON
67,WA11278E,16-Jan-21,FORTUNE DARUMA,,14.8,29.6,8158AF,STD,1,50,100,40/40,170,180,180,180,180,180,180,180,180,180,180,180,,,
68,IA12587E,20-Jan-21,EVERGOOD,,323.55,70.85,8226AF-8232AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
69,BA9094E,20-Jan-21,ZELLER,,266.7,50.32,8251AF-8255AF,STD,3,30,40,40/40,180,200,180,180,180,180,180,,,,,,,,
70,WA8512E,20-Jan-21,AMAZON,,2970,221.92,8241AF-8246AF,STD,7,22,200,40,170,160,160,150,150,140,140,140,130,130,,,,,VACUUM ON
71,CA1578E,21-Jan-21,JR HOLSTER,,88.86,49.83,8289AF-8290AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
72,TA13038E,21-Jan-21,PLEXCO,,53.93,49.03,8295AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
73,WA13211E,21-Jan-21,CALYPSO,,5004.75,263.87,8279AF-8283AF; 8334AF-8335AF; 8338AF-8342AF,STD,7,40,150,60/60,200,200,190,180,170,170,170,160,160,150,150,150,,,
74,KA13315E,22-Jan-21,PHIL-TOP,,248.76,67.85,8296AF-8300AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
75,KA12988E,22-Jan-21,PLEXCO,,51.9,51.9,8294AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
76,DA9260E,22-Jan-21,Evergood,,103.74,64.17,8336AF-8337AF,STD,3,30,40,60/60,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
77,DA13055E,22-Jan-21,PLEXCO,,54.33,48.65,8291AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
78,WA8512E,25-Jan-21,AMAZON(corr),,1500,233.16,8273AF-8278AF,STD,7,22,200,40,170,160,160,150,150,140,140,140,130,130,,,,,VACUUM ON
79,KA4309E,25-Jan-21,MGQ,,990.62,69.52,8359AF-8368AF,STD,3,15,24,60/60,150,150,150,150,150,130,130,,,,,,,,
80,WA12282E,25-Jan-21,PACKAGE WORLD,,5200,66,8369AF-8381AF,STD,8,22,150,60/60,150,150,150,150,140,140,140,140,130,130,,,,,
81,WA7997E,25-Jan-21,NICE,,91.75,53.97,8193AF-8194AF,STD,8,26,250,60/60,160,160,160,160,150,150,150,150,140,140,140,,,,VACUUM ON
82,WA8512E,25-Jan-21,AMAZON,,527.28,259.32,8332AF-8333AF,STD,7,22,200,40,170,160,160,150,150,140,140,140,130,130,,,,,VACUUM ON
83,WA2123E,25-Jan-21,KPC,,5257.46,236.47,8404AF-8438AF,STD,7,60,200,60/60,220,220,200,200,200,200,200,200,180,180,,,,,VACUUM ON
